400 390 251 RESULTS 0LEP 5 1 0 RESULTS 1LEP 84 98 346 6 0 825 6 2 RESULTS 2LEP 70 7 13 8 6 1 1 1 RESULTS 2B 19 13 5 2 2 1 1
400 390 301 RESULTS 0LEP 0 0 0 RESULTS 1LEP 42 16 84 0 0 343 1 0 RESULTS 2LEP 34 5 3 1 5 0 0 0 RESULTS 2B 6 10 2 1 1 1 0
400 390 351 RESULTS 0LEP 1 0 0 RESULTS 1LEP 0 4 32 0 0 133 0 0 RESULTS 2LEP 0 0 0 0 0 0 0 0 RESULTS 2B 11 20 4 1 1 0 0
450 440 1 RESULTS 0LEP 22 14 7 RESULTS 1LEP 34 78 848 27 13 2294 37 19 RESULTS 2LEP 149 16 47 44 20 8 11 8 RESULTS 2B 31 47 20 13 9 4 1
450 440 51 RESULTS 0LEP 21 13 11 RESULTS 1LEP 40 68 916 32 22 2265 36 18 RESULTS 2LEP 171 29 63 56 11 4 4 4 RESULTS 2B 31 41 20 17 13 5 2
450 440 101 RESULTS 0LEP 21 15 7 RESULTS 1LEP 42 92 874 32 20 2240 32 17 RESULTS 2LEP 154 24 61 53 11 4 5 5 RESULTS 2B 46 37 27 18 10 6 2
450 440 151 RESULTS 0LEP 13 8 3 RESULTS 1LEP 56 70 832 26 13 2046 23 8 RESULTS 2LEP 160 24 56 49 12 7 6 5 RESULTS 2B 33 40 17 10 6 2 1
450 440 201 RESULTS 0LEP 23 14 8 RESULTS 1LEP 62 100 842 23 12 1758 30 15 RESULTS 2LEP 134 19 41 39 17 3 3 2 RESULTS 2B 27 21 16 10 5 3 3
450 440 251 RESULTS 0LEP 10 3 1 RESULTS 1LEP 80 94 662 12 3 1455 17 5 RESULTS 2LEP 87 9 22 18 16 5 6 6 RESULTS 2B 22 19 12 6 1 1 0
450 440 301 RESULTS 0LEP 7 1 0 RESULTS 1LEP 92 116 368 1 1 889 8 1 RESULTS 2LEP 75 9 23 19 11 4 3 2 RESULTS 2B 16 13 5 0 0 0 0
450 440 351 RESULTS 0LEP 0 0 0 RESULTS 1LEP 14 18 96 0 0 401 1 0 RESULTS 2LEP 19 4 4 2 4 1 0 0 RESULTS 2B 15 14 8 5 2 0 0
450 440 401 RESULTS 0LEP 0 0 0 RESULTS 1LEP 0 4 26 1 1 121 0 0 RESULTS 2LEP 2 0 1 1 0 0 0 0 RESULTS 2B 10 20 6 4 2 1 0
500 490 1 RESULTS 0LEP 24 19 12 RESULTS 1LEP 36 56 1030 49 18 2510 47 25 RESULTS 2LEP 162 29 61 58 27 8 13 12 RESULTS 2B 28 54 19 15 6 3 1
500 490 51 RESULTS 0LEP 25 20 16 RESULTS 1LEP 44 34 946 44 29 2461 37 20 RESULTS 2LEP 154 34 63 58 23 11 13 11 RESULTS 2B 26 61 23 16 13 10 7
500 490 101 RESULTS 0LEP 21 15 10 RESULTS 1LEP 54 62 932 30 17 2376 45 25 RESULTS 2LEP 173 25 63 58 22 8 11 10 RESULTS 2B 23 43 15 10 7 6 1
500 490 151 RESULTS 0LEP 22 12 9 RESULTS 1LEP 44 82 930 24 9 2296 47 26 RESULTS 2LEP 146 25 59 53 19 5 4 4 RESULTS 2B 22 37 11 5 2 2 1
500 490 201 RESULTS 0LEP 25 14 5 RESULTS 1LEP 70 62 882 32 18 2098 40 24 RESULTS 2LEP 159 17 54 50 18 5 11 9 RESULTS 2B 26 28 16 14 8 6 3
500 490 251 RESULTS 0LEP 19 9 5 RESULTS 1LEP 92 62 776 23 12 1843 22 10 RESULTS 2LEP 135 12 43 38 13 5 4 2 RESULTS 2B 26 35 16 10 4 2 1
500 490 301 RESULTS 0LEP 6 1 1 RESULTS 1LEP 72 88 706 11 10 1558 8 5 RESULTS 2LEP 107 12 30 23 18 3 9 7 RESULTS 2B 30 22 16 9 3 2 1
500 490 351 RESULTS 0LEP 4 2 2 RESULTS 1LEP 84 110 368 3 0 955 6 3 RESULTS 2LEP 69 8 18 15 14 3 5 3 RESULTS 2B 18 10 5 2 1 0 0
500 490 401 RESULTS 0LEP 3 2 2 RESULTS 1LEP 28 20 104 1 0 436 0 0 RESULTS 2LEP 32 8 6 5 10 2 1 1 RESULTS 2B 7 7 3 0 0 0 0
500 490 451 RESULTS 0LEP 0 0 0 RESULTS 1LEP 6 6 18 0 0 130 1 1 RESULTS 2LEP 1 0 1 0 1 0 0 0 RESULTS 2B 21 27 12 6 3 2 1
550 540 1 RESULTS 0LEP 27 20 18 RESULTS 1LEP 40 54 896 35 24 2536 51 30 RESULTS 2LEP 214 33 71 64 23 8 12 10 RESULTS 2B 31 61 24 19 14 8 5
550 540 51 RESULTS 0LEP 33 24 21 RESULTS 1LEP 26 60 988 42 31 2562 39 26 RESULTS 2LEP 201 29 80 74 22 3 7 6 RESULTS 2B 31 55 25 19 16 13 8
550 540 101 RESULTS 0LEP 35 27 21 RESULTS 1LEP 30 52 930 35 20 2543 53 26 RESULTS 2LEP 201 29 73 67 26 10 13 12 RESULTS 2B 26 69 15 12 10 5 4
550 540 151 RESULTS 0LEP 34 24 20 RESULTS 1LEP 42 40 898 35 28 2429 40 19 RESULTS 2LEP 178 22 62 55 21 4 6 6 RESULTS 2B 35 43 22 17 12 10 6
550 540 201 RESULTS 0LEP 25 15 11 RESULTS 1LEP 32 76 852 24 19 2275 38 21 RESULTS 2LEP 159 20 56 47 26 8 14 13 RESULTS 2B 28 39 18 16 10 7 2
550 540 251 RESULTS 0LEP 21 11 8 RESULTS 1LEP 64 98 928 23 9 2204 36 19 RESULTS 2LEP 155 31 74 65 28 5 10 10 RESULTS 2B 25 53 13 10 5 5 1
550 540 301 RESULTS 0LEP 15 9 5 RESULTS 1LEP 40 84 802 28 12 1950 28 18 RESULTS 2LEP 138 22 46 39 17 5 7 4 RESULTS 2B 22 36 16 9 3 1 0
550 540 351 RESULTS 0LEP 17 8 6 RESULTS 1LEP 66 122 580 13 2 1555 18 7 RESULTS 2LEP 99 12 22 20 11 7 5 4 RESULTS 2B 23 20 11 3 0 0 0
550 540 401 RESULTS 0LEP 8 2 1 RESULTS 1LEP 92 134 410 4 1 1017 4 2 RESULTS 2LEP 64 7 19 15 8 3 4 2 RESULTS 2B 21 4 12 2 0 0 0
550 540 451 RESULTS 0LEP 0 0 0 RESULTS 1LEP 20 36 122 2 1 404 1 0 RESULTS 2LEP 25 5 6 4 5 1 1 1 RESULTS 2B 9 9 2 0 0 0 0
